pair_id,entity,entity_label,polymarket_market_id,polymarket_ticker,polymarket_title,kalshi_ticker,kalshi_title,kalshi_subtitle,polymarket_strike_floor,polymarket_strike_bound,polymarket_relation,kalshi_strike_floor,kalshi_strike_bound,kalshi_relation,strike_gap,close_time_utc,close_ms,close_delta_ms,polymarket_settlement_index,kalshi_settlement_index,polymarket_quote_currency,kalshi_quote_currency,polymarket_functional_kind,polymarket_window_ms,polymarket_window_position,kalshi_functional_kind,kalshi_window_ms,kalshi_window_position,polymarket_resolver,kalshi_resolver,score_total,failed_gates,caveat_index_basis,caveat_quote_currency_basis,caveat_measurement_window_basis,caveat_threshold
polymarket:3719559|kalshi:KXBTCD-26AUG1909-T62599.99,crypto:btc,Bitcoin,3719559,bitcoin-above-62600-on-august-19-2026-9am-et,"Bitcoin above 62,600 on August 19, 9AM ET?",KXBTCD-26AUG1909-T62599.99,"Bitcoin price on Aug 19, 2026?","$62,600 or above",62600,exclusive,above,62599.99,exclusive,above,0.01,2026-08-19T13:00:00Z,1787144400000,0,binance,cf-benchmarks-brti,usdt,usd,point-close,0,ends-at-close,window-mean,60000,precedes-close,uma-optimistic-oracle,exchange-operator,0.79545,measurement-instant,"index basis: binance vs cf-benchmarks-brti. Different observables of the same asset, which near the strike can sit on opposite sides of it.","quote-currency basis: usdt vs usd. A stablecoin-quoted price and a fiat composite are not the same number, and the peg moves.","measurement-window basis: point close at the listed time vs mean over 60s window preceding the listed time. Different statistics over different windows at the same listed time, so the legs can resolve oppositely whenever the final window moves, and the divergence is SIGNED rather than mean-zero.","threshold knife-edge: the legs sit ONE quotation tick apart (62599.99 vs 62600 on a 0.01 grid), so any settled value in (62599.99, 62600] resolves them oppositely, the closed endpoint included. The population at risk is narrow, but the settled value need not land on that grid."
polymarket:3719548|kalshi:KXBTCD-26AUG1909-T64999.99,crypto:btc,Bitcoin,3719548,bitcoin-above-65000-on-august-19-2026-9am-et,"Bitcoin above 65,000 on August 19, 9AM ET?",KXBTCD-26AUG1909-T64999.99,"Bitcoin price on Aug 19, 2026?","$65,000 or above",65000,exclusive,above,64999.99,exclusive,above,0.01,2026-08-19T13:00:00Z,1787144400000,0,binance,cf-benchmarks-brti,usdt,usd,point-close,0,ends-at-close,window-mean,60000,precedes-close,uma-optimistic-oracle,exchange-operator,0.79545,measurement-instant,"index basis: binance vs cf-benchmarks-brti. Different observables of the same asset, which near the strike can sit on opposite sides of it.","quote-currency basis: usdt vs usd. A stablecoin-quoted price and a fiat composite are not the same number, and the peg moves.","measurement-window basis: point close at the listed time vs mean over 60s window preceding the listed time. Different statistics over different windows at the same listed time, so the legs can resolve oppositely whenever the final window moves, and the divergence is SIGNED rather than mean-zero.","threshold knife-edge: the legs sit ONE quotation tick apart (64999.99 vs 65000 on a 0.01 grid), so any settled value in (64999.99, 65000] resolves them oppositely, the closed endpoint included. The population at risk is narrow, but the settled value need not land on that grid."
polymarket:3719547|kalshi:KXBTCD-26AUG1909-T65199.99,crypto:btc,Bitcoin,3719547,bitcoin-above-65200-on-august-19-2026-9am-et,"Bitcoin above 65,200 on August 19, 9AM ET?",KXBTCD-26AUG1909-T65199.99,"Bitcoin price on Aug 19, 2026?","$65,200 or above",65200,exclusive,above,65199.99,exclusive,above,0.01,2026-08-19T13:00:00Z,1787144400000,0,binance,cf-benchmarks-brti,usdt,usd,point-close,0,ends-at-close,window-mean,60000,precedes-close,uma-optimistic-oracle,exchange-operator,0.79545,measurement-instant,"index basis: binance vs cf-benchmarks-brti. Different observables of the same asset, which near the strike can sit on opposite sides of it.","quote-currency basis: usdt vs usd. A stablecoin-quoted price and a fiat composite are not the same number, and the peg moves.","measurement-window basis: point close at the listed time vs mean over 60s window preceding the listed time. Different statistics over different windows at the same listed time, so the legs can resolve oppositely whenever the final window moves, and the divergence is SIGNED rather than mean-zero.","threshold knife-edge: the legs sit ONE quotation tick apart (65199.99 vs 65200 on a 0.01 grid), so any settled value in (65199.99, 65200] resolves them oppositely, the closed endpoint included. The population at risk is narrow, but the settled value need not land on that grid."
polymarket:3719546|kalshi:KXBTCD-26AUG1909-T65399.99,crypto:btc,Bitcoin,3719546,bitcoin-above-65400-on-august-19-2026-9am-et,"Bitcoin above 65,400 on August 19, 9AM ET?",KXBTCD-26AUG1909-T65399.99,"Bitcoin price on Aug 19, 2026?","$65,400 or above",65400,exclusive,above,65399.99,exclusive,above,0.01,2026-08-19T13:00:00Z,1787144400000,0,binance,cf-benchmarks-brti,usdt,usd,point-close,0,ends-at-close,window-mean,60000,precedes-close,uma-optimistic-oracle,exchange-operator,0.79545,measurement-instant,"index basis: binance vs cf-benchmarks-brti. Different observables of the same asset, which near the strike can sit on opposite sides of it.","quote-currency basis: usdt vs usd. A stablecoin-quoted price and a fiat composite are not the same number, and the peg moves.","measurement-window basis: point close at the listed time vs mean over 60s window preceding the listed time. Different statistics over different windows at the same listed time, so the legs can resolve oppositely whenever the final window moves, and the divergence is SIGNED rather than mean-zero.","threshold knife-edge: the legs sit ONE quotation tick apart (65399.99 vs 65400 on a 0.01 grid), so any settled value in (65399.99, 65400] resolves them oppositely, the closed endpoint included. The population at risk is narrow, but the settled value need not land on that grid."
polymarket:3719545|kalshi:KXBTCD-26AUG1909-T65599.99,crypto:btc,Bitcoin,3719545,bitcoin-above-65600-on-august-19-2026-9am-et,"Bitcoin above 65,600 on August 19, 9AM ET?",KXBTCD-26AUG1909-T65599.99,"Bitcoin price on Aug 19, 2026?","$65,600 or above",65600,exclusive,above,65599.99,exclusive,above,0.01,2026-08-19T13:00:00Z,1787144400000,0,binance,cf-benchmarks-brti,usdt,usd,point-close,0,ends-at-close,window-mean,60000,precedes-close,uma-optimistic-oracle,exchange-operator,0.79545,measurement-instant,"index basis: binance vs cf-benchmarks-brti. Different observables of the same asset, which near the strike can sit on opposite sides of it.","quote-currency basis: usdt vs usd. A stablecoin-quoted price and a fiat composite are not the same number, and the peg moves.","measurement-window basis: point close at the listed time vs mean over 60s window preceding the listed time. Different statistics over different windows at the same listed time, so the legs can resolve oppositely whenever the final window moves, and the divergence is SIGNED rather than mean-zero.","threshold knife-edge: the legs sit ONE quotation tick apart (65599.99 vs 65600 on a 0.01 grid), so any settled value in (65599.99, 65600] resolves them oppositely, the closed endpoint included. The population at risk is narrow, but the settled value need not land on that grid."
polymarket:3719544|kalshi:KXBTCD-26AUG1909-T65799.99,crypto:btc,Bitcoin,3719544,bitcoin-above-65800-on-august-19-2026-9am-et,"Bitcoin above 65,800 on August 19, 9AM ET?",KXBTCD-26AUG1909-T65799.99,"Bitcoin price on Aug 19, 2026?","$65,800 or above",65800,exclusive,above,65799.99,exclusive,above,0.01,2026-08-19T13:00:00Z,1787144400000,0,binance,cf-benchmarks-brti,usdt,usd,point-close,0,ends-at-close,window-mean,60000,precedes-close,uma-optimistic-oracle,exchange-operator,0.79545,measurement-instant,"index basis: binance vs cf-benchmarks-brti. Different observables of the same asset, which near the strike can sit on opposite sides of it.","quote-currency basis: usdt vs usd. A stablecoin-quoted price and a fiat composite are not the same number, and the peg moves.","measurement-window basis: point close at the listed time vs mean over 60s window preceding the listed time. Different statistics over different windows at the same listed time, so the legs can resolve oppositely whenever the final window moves, and the divergence is SIGNED rather than mean-zero.","threshold knife-edge: the legs sit ONE quotation tick apart (65799.99 vs 65800 on a 0.01 grid), so any settled value in (65799.99, 65800] resolves them oppositely, the closed endpoint included. The population at risk is narrow, but the settled value need not land on that grid."
polymarket:3719543|kalshi:KXBTCD-26AUG1909-T65999.99,crypto:btc,Bitcoin,3719543,bitcoin-above-66000-on-august-19-2026-9am-et,"Bitcoin above 66,000 on August 19, 9AM ET?",KXBTCD-26AUG1909-T65999.99,"Bitcoin price on Aug 19, 2026?","$66,000 or above",66000,exclusive,above,65999.99,exclusive,above,0.01,2026-08-19T13:00:00Z,1787144400000,0,binance,cf-benchmarks-brti,usdt,usd,point-close,0,ends-at-close,window-mean,60000,precedes-close,uma-optimistic-oracle,exchange-operator,0.79545,measurement-instant,"index basis: binance vs cf-benchmarks-brti. Different observables of the same asset, which near the strike can sit on opposite sides of it.","quote-currency basis: usdt vs usd. A stablecoin-quoted price and a fiat composite are not the same number, and the peg moves.","measurement-window basis: point close at the listed time vs mean over 60s window preceding the listed time. Different statistics over different windows at the same listed time, so the legs can resolve oppositely whenever the final window moves, and the divergence is SIGNED rather than mean-zero.","threshold knife-edge: the legs sit ONE quotation tick apart (65999.99 vs 66000 on a 0.01 grid), so any settled value in (65999.99, 66000] resolves them oppositely, the closed endpoint included. The population at risk is narrow, but the settled value need not land on that grid."
polymarket:3719542|kalshi:KXBTCD-26AUG1909-T66199.99,crypto:btc,Bitcoin,3719542,bitcoin-above-66200-on-august-19-2026-9am-et,"Bitcoin above 66,200 on August 19, 9AM ET?",KXBTCD-26AUG1909-T66199.99,"Bitcoin price on Aug 19, 2026?","$66,200 or above",66200,exclusive,above,66199.99,exclusive,above,0.01,2026-08-19T13:00:00Z,1787144400000,0,binance,cf-benchmarks-brti,usdt,usd,point-close,0,ends-at-close,window-mean,60000,precedes-close,uma-optimistic-oracle,exchange-operator,0.79545,measurement-instant,"index basis: binance vs cf-benchmarks-brti. Different observables of the same asset, which near the strike can sit on opposite sides of it.","quote-currency basis: usdt vs usd. A stablecoin-quoted price and a fiat composite are not the same number, and the peg moves.","measurement-window basis: point close at the listed time vs mean over 60s window preceding the listed time. Different statistics over different windows at the same listed time, so the legs can resolve oppositely whenever the final window moves, and the divergence is SIGNED rather than mean-zero.","threshold knife-edge: the legs sit ONE quotation tick apart (66199.99 vs 66200 on a 0.01 grid), so any settled value in (66199.99, 66200] resolves them oppositely, the closed endpoint included. The population at risk is narrow, but the settled value need not land on that grid."
polymarket:3719541|kalshi:KXBTCD-26AUG1909-T66399.99,crypto:btc,Bitcoin,3719541,bitcoin-above-66400-on-august-19-2026-9am-et,"Bitcoin above 66,400 on August 19, 9AM ET?",KXBTCD-26AUG1909-T66399.99,"Bitcoin price on Aug 19, 2026?","$66,400 or above",66400,exclusive,above,66399.99,exclusive,above,0.01,2026-08-19T13:00:00Z,1787144400000,0,binance,cf-benchmarks-brti,usdt,usd,point-close,0,ends-at-close,window-mean,60000,precedes-close,uma-optimistic-oracle,exchange-operator,0.79545,measurement-instant,"index basis: binance vs cf-benchmarks-brti. Different observables of the same asset, which near the strike can sit on opposite sides of it.","quote-currency basis: usdt vs usd. A stablecoin-quoted price and a fiat composite are not the same number, and the peg moves.","measurement-window basis: point close at the listed time vs mean over 60s window preceding the listed time. Different statistics over different windows at the same listed time, so the legs can resolve oppositely whenever the final window moves, and the divergence is SIGNED rather than mean-zero.","threshold knife-edge: the legs sit ONE quotation tick apart (66399.99 vs 66400 on a 0.01 grid), so any settled value in (66399.99, 66400] resolves them oppositely, the closed endpoint included. The population at risk is narrow, but the settled value need not land on that grid."
polymarket:3719540|kalshi:KXBTCD-26AUG1909-T66599.99,crypto:btc,Bitcoin,3719540,bitcoin-above-66600-on-august-19-2026-9am-et,"Bitcoin above 66,600 on August 19, 9AM ET?",KXBTCD-26AUG1909-T66599.99,"Bitcoin price on Aug 19, 2026?","$66,600 or above",66600,exclusive,above,66599.99,exclusive,above,0.01,2026-08-19T13:00:00Z,1787144400000,0,binance,cf-benchmarks-brti,usdt,usd,point-close,0,ends-at-close,window-mean,60000,precedes-close,uma-optimistic-oracle,exchange-operator,0.79545,measurement-instant,"index basis: binance vs cf-benchmarks-brti. Different observables of the same asset, which near the strike can sit on opposite sides of it.","quote-currency basis: usdt vs usd. A stablecoin-quoted price and a fiat composite are not the same number, and the peg moves.","measurement-window basis: point close at the listed time vs mean over 60s window preceding the listed time. Different statistics over different windows at the same listed time, so the legs can resolve oppositely whenever the final window moves, and the divergence is SIGNED rather than mean-zero.","threshold knife-edge: the legs sit ONE quotation tick apart (66599.99 vs 66600 on a 0.01 grid), so any settled value in (66599.99, 66600] resolves them oppositely, the closed endpoint included. The population at risk is narrow, but the settled value need not land on that grid."
polymarket:3720408|kalshi:KXBTCD-26AUG1910-T62799.99,crypto:btc,Bitcoin,3720408,bitcoin-above-62800-on-august-19-2026-10am-et,"Bitcoin above 62,800 on August 19, 10AM ET?",KXBTCD-26AUG1910-T62799.99,"Bitcoin price on Aug 19, 2026?","$62,800 or above",62800,exclusive,above,62799.99,exclusive,above,0.01,2026-08-19T14:00:00Z,1787148000000,0,binance,cf-benchmarks-brti,usdt,usd,point-close,0,ends-at-close,window-mean,60000,precedes-close,uma-optimistic-oracle,exchange-operator,0.79545,measurement-instant,"index basis: binance vs cf-benchmarks-brti. Different observables of the same asset, which near the strike can sit on opposite sides of it.","quote-currency basis: usdt vs usd. A stablecoin-quoted price and a fiat composite are not the same number, and the peg moves.","measurement-window basis: point close at the listed time vs mean over 60s window preceding the listed time. Different statistics over different windows at the same listed time, so the legs can resolve oppositely whenever the final window moves, and the divergence is SIGNED rather than mean-zero.","threshold knife-edge: the legs sit ONE quotation tick apart (62799.99 vs 62800 on a 0.01 grid), so any settled value in (62799.99, 62800] resolves them oppositely, the closed endpoint included. The population at risk is narrow, but the settled value need not land on that grid."
polymarket:3720407|kalshi:KXBTCD-26AUG1910-T62999.99,crypto:btc,Bitcoin,3720407,bitcoin-above-63000-on-august-19-2026-10am-et,"Bitcoin above 63,000 on August 19, 10AM ET?",KXBTCD-26AUG1910-T62999.99,"Bitcoin price on Aug 19, 2026?","$63,000 or above",63000,exclusive,above,62999.99,exclusive,above,0.01,2026-08-19T14:00:00Z,1787148000000,0,binance,cf-benchmarks-brti,usdt,usd,point-close,0,ends-at-close,window-mean,60000,precedes-close,uma-optimistic-oracle,exchange-operator,0.79545,measurement-instant,"index basis: binance vs cf-benchmarks-brti. Different observables of the same asset, which near the strike can sit on opposite sides of it.","quote-currency basis: usdt vs usd. A stablecoin-quoted price and a fiat composite are not the same number, and the peg moves.","measurement-window basis: point close at the listed time vs mean over 60s window preceding the listed time. Different statistics over different windows at the same listed time, so the legs can resolve oppositely whenever the final window moves, and the divergence is SIGNED rather than mean-zero.","threshold knife-edge: the legs sit ONE quotation tick apart (62999.99 vs 63000 on a 0.01 grid), so any settled value in (62999.99, 63000] resolves them oppositely, the closed endpoint included. The population at risk is narrow, but the settled value need not land on that grid."
